title,description,userState,userCity,status,created,url
Bateria do Tracker LT com defeito após 1 ano e 4 meses - Insatisfação com a garantia da GM,"Comprei um tracker lt em abril&#39;24, 1 ano e  4meses e 10 dias, a BATERIA  PIFOU. A garantia de montadora é 1 ano...<br />Ora, como ter carro chevrolet sem qualidade?  a garantia de um ano porque sabem que logo estoura?<br />Tentei entrar em acordo, sei que baterias no mercado tem 24 meses, 2 anos e aguenta 4 anos, mas a GM da so 1 ano de garantia e sem negociacao.<br />Pelo valor pago no carro, esperava qualidade melhor, e aí pergunto alguém vai comprar chevrolet?<br />Se alguém disser que garantia É  de um ano?<br />Entendo e concordo desde que bateria tenha qualidade igual a que comprei hoje com 2 anos de garantia<br />Consumidor insatisfeito.",PR,Curitiba,PENDING,2025-10-09T17:09:32,https://www.reclameaqui.com.br/chevrolet/bateria-do-tracker-lt-com-defeito-apos-1-ano-e-4-meses-insatisfacao-com-a-garantia-da-gm_sr2zrkQYR-rz7_If/
"Atraso na entrega, falta de transparência e não contratação de serviço adicional na compra de veículo Chevrolet na Canadá Veículos","Acabei de passar pela pior experiência da minha vida como consumidor. Fiz a compra de um carro para a minha empresa na Canadá Veículos, no Piauí. A entrega se estendeu por mais de 20 dias de atraso devido às enrolações por parte do vendedor e da própria empresa. Tive que pagar até passagem de avião para contrato viajar de um lado do país a outro por causa da falta de transparência dos &quot;profissionais&quot; em prestar informações verdadeiras sobre como seria o processo de assinaturas dos contratos. O contrato parecia mais um vestibular do que um contrato profissional e sério, não é digital e as assinaturas precisam ser feitas manualmente. Empresas com sócios em lugares distintos do país não podem nem cogitar viver isso. Nem gerência local e regional conseguiram agir corretamente. Além disso, solicitei a contratação do serviço Reparo Rápido e o mesmo não foi contratado, e acabo de descobrir que não poderei mais aderir ao procedimento por causa da ingerência e falta de profissionalismo da empresa em efetuar essa contratação no momento adequado. Estou decepcionado com a Chevrolet e vocês deveria repensar o cadastro de uma empresa sem respeito com os clientes como essa Canadá Veículos do Piauí. Eu fiz compra outras marcas e não passei por um terço da humilhação que voi adquirir para a minha frota um veiculo Chevrolet! NUNCA MAIS",DF,Brasília,PENDING,2025-10-09T14:17:44,https://www.reclameaqui.com.br/chevrolet/atraso-na-entrega-falta-de-transparencia-e-nao-contratacao-de-servico-adicional-na-compra-de-veiculo-chevrolet-na-canada-veiculos_QkouL1CNtPixfloY/
Demora na emissão do PPP de ex-funcionário da General Motors,"Sou procuradora de um ex funcionário da General Motors - unidade Mogi das Cruzes, e desde março estamos na luta para conseguir que seja emitido o PPP deste empregado, o contato com a empresa é pessimo, o unico canal de contato com a equipe de recursos humanos é o e-mail *****, o qual quando respondem alegam que estão verificando e nunca dão um prazo para envio. <br /><br />Deste modo uso esse canal ( o qual pode ate ser indevido) para pedir o apoio da empresa para resolvermos de vez essa questão, pois, o empregado esta sendo prejudicado pelo descaso da empresa em corrigir um documento o qual ele tem direito de obter.",SP,Suzano,PENDING,2025-10-09T13:23:18,https://www.reclameaqui.com.br/chevrolet/demora-na-emissao-do-ppp-de-ex-funcionario-da-general-motors_K4zLwNWoeswwbo1Z/
Problemas de conectividade OnStar e mau atendimento,"Estou com problema de conectividade no meu veículo há pelo menos duas semanas e tenho recebido péssimo atendimento do ONSTAR. Pago o plano, estou adimplente mas o wi-fi do veículo não conecta, aparece &quot;conectado sem internet&quot;, sendo que pago o plano de dados. Quando identifiquei o problema a atendente reconfigurou o wi-fi, alterou nome de usuário e senha, disse que &quot;atualizou o software&quot;, mas não resolveu o problema. A última informação que me passaram foi surreal, de que &quot;provavelmente eu estava fora da área de cobertura&quot;, sendo que moro e trabalho na região metropolitana de SP e a internet do carro não funciona em nenhum lugar, nem perto do aeroporto, nem na Marginal Pinheiros, nem na Avenida dos Bandeirantes, esses locais estão fora da área de cobertura? Vão ressarcir o valor que paguei por essas duas semanas sem serviço? Dia 14/10 vou fazer a primeira revisão do veículo na concessionária, já informei-os previamente desse problema, será que vão conseguir resolver?",SP,Diadema,PENDING,2025-10-09T11:14:15,https://www.reclameaqui.com.br/chevrolet/problemas-de-conectividade-onstar-e-mau-atendimento_mlLPBf7z4f1QFE9V/
Cobrança indevida de diagnósticos e recusa na troca de sensor de pneu na Chevrolet Simcauto Del Castilho,"Comecei o dia me estressando em uma concessionária da Chevrolet!<br />Sou cliente da chevrolet desde 2016 e agora estou avaliando se compro um carro zero chevrolet novamente, mas depois do atendimento que eu recebi na oficina da Chevrolet Simcauto Del Castilho - Rio de Janeiro eu desisto!<br /><br />Agendei um serviço para avaliar e efetuar a troca de um simples sensor de pneu. Porém, já de imediato, sem nem ao menos tocar no meu carro, nem pra ver o painel, o mecânico me diz que eu precisaria pagar um diagnóstico no valor de R$ 240,00 para saber qual o pneu estava com o sensor ruim! Que absurdo! Eu falei pra ele que já sabia qual pneu tinha o sensor ruim e ele continuou insistindo que eu teria que pagar pelo diagnóstico e posteriormente pela peça + a mão de obra da troca do sensor, ou seja, minha despesa para a troca de um simples sensor chegaria a mais de R$ 700,00 ! Um verdadeiro absurdo. <br /><br />Eu insisti dizendo que eu tinha certeza qual era o sensor ruim e só queria realizar a troca do sensor (lado carona da frente) e ele disse que não fazia só a troca que teria o tal do diagnóstico+peça+mão de obra da troca do sensor.<br />Informei então que eu não iria fazer o serviço e iria embora. Sei que isso é procedimento padrão, mas para quem já está estressado é terrível, fui impedida de ir embora se eu não pegasse uma &quot;saída&quot; sendo que eu nem tinha nenhuma entrada do meu carro e nem fui encaminhada até a recepção. Para que deixam a gente falar com o mecânico se tem toda essa burocracia de recepção? Ou então na portaria eles precisam avisar que eu tenho que estacionar e ir na recepção de imediato por que eu fiquei na baia esperando ser atendida.<br /><br />Eu não acredito que seja o atendimento que a chevrolet passa para sua agências. <br />Deixando aqui a minha indignação para que vocês revejam os procedimentos e processos por que se eu passei tudo isso por causa de um sensor de pneu o que passaria com uma troca de correia dentada? Jamais agendaria um serviço mais sério se para fazer o simples é criada toda essa problemática!",SP,São Paulo,PENDING,2025-10-09T11:03:43,https://www.reclameaqui.com.br/chevrolet/cobranca-indevida-de-diagnostico-e-recusa-na-troca-de-sensor-de-pneu-na-chevrolet-simcauto-del-castilho_G4EnLN7exMCb0L12/
Defeito no evaporador do ar-condic.,"Venho, por meio desta, formalizar minha reclamação referente a um grave defeito apresentado no evaporador do sistema de ar-condicionado do meu veículo Chevrolet Cruze, modelo 2018. vazamento de gás refrigerante, na evaporadoura<br /> O problema foi identificado em [09/10/2025] o veículo foi levado à Oficina na data, onde foi diagnosticada a falha no evaporador, sendo necessária a sua substituição.<br /> O orçamento para o reparo é de R$4,500 aproximadamente <br />Trata-se de um veículo com apenas 7 anos de uso e 103000km, com as manutenções em dia. Pesquisas e relatos de outros proprietários indicam que a falha prematura no evaporador do Cruze (2 geração) é um problema recorrente e crônico, amplamente conhecido no mercado.<br />Diante disso, entendo que o defeito se configura como um vício oculto de fabricação e durabilidade do componente, uma vez que a peça não atingiu a vida útil esperada e a sua substituição, que envolve a desmontagem de grande parte do painel, é notoriamente complexa e de alto custo.<br />Desta forma, e em conformidade com o Código de Defesa do Consumidor, solicito a análise e reparo/substituição do evaporador do ar-condicionado de forma integral e gratuita, por se tratar de um defeito de fábrica, mesmo que o veículo esteja fora do período de garantia contratual para essa peça específica, devido à sua natureza de vício crônico.<br />Aguardo um posicionamento oficial e uma proposta de solução da GM",SP,Poá,PENDING,2025-10-09T10:34:25,https://www.reclameaqui.com.br/chevrolet/defeito-no-evaporador-do-ar-condi_LZNLzzkucDSsu5hu/
Descarga inexplicável da bateria do Ônix 2022 com baixa quilometragem,"Não sei o que acontece com o Ônix 2022, motor aspirado. Do nada ele descarrega a bateria. Já fiz vários testes, bateria, alternador...O carro liga normal, anda um a dois km e descarrega. Faço uma viagem de 500 km, qdo chega ao destino, desligo e qdo liga não pega. As vzs acontece de três em três meses uma vez apenas. Incrível, concessionária condenou bateria sem testar. Loja de bateria testou e está tudo normal.Vou vender e mudar de marca. Olha que ele só tem 25.000 km rodados",PI,Parnaíba,PENDING,2025-10-09T10:31:31,https://www.reclameaqui.com.br/chevrolet/descarga-inexplicavel-da-bateria-do-onix-2022-com-baixa-quilometragem_EECjrOxswl9eV5un/
Negativa na reativação da garantia da correia para Tracker Premier 1.2 2024,"Olá, estou muito triste com o destino da marca Chevrolet no Brasil, esse é meu quinto carro da marca, já tive corsa, vectra, onix, cruze e agora estou com uma Tracker Premier 1.2 2024 e ao ir na concessionaria pedir a reativação da garantia da correia, estando disposto a fazer avaliação e arcar com as trocas de óleo sempre na concessionaria fui surpreendido que a campanha da reativação da garantia da correia é apenas apara Onix e Onix plus. Que [Editado pelo Reclame Aqui] viu GM, agora eu precisando de uma garantia a mais para facilitar a venda do veiculo, mesmo o meu com km muito baixo, que segurar na mão essa &quot;[Editado pelo Reclame Aqui]&quot;, pois todo mundo que pergunto sobre o veículo acho o carro lindo mais morre de medo de ter problema com essa engenharia retrograda da GM de fazer um carro com dispositivo tão frágil para um veiculo de alto valor de mercado. Registro aqui minha insatisfação e espero que Chevrolet nunca mais se assim Deus me permitir.",GO,Goiânia,PENDING,2025-10-09T10:13:22,https://www.reclameaqui.com.br/chevrolet/negativa-na-reativacao-da-garantia-da-correia-para-tracker-premier-12-2024_JQovMrYfPp_P_9AX/
Cobrança indevida e venda casada da Chevrolet/OnStar no contrato do Tracker,"Título da Reclamação:<br /><br />Cobrança indevida e prática abusiva da Chevrolet Oeste Veículos e OnStar venda casada no contrato do veículo Tracker<br /><br />Mensagem da Reclamação:<br /><br />No dia em que retirei meu veículo Tracker zero km na Chevrolet Oeste Veículos, em Nova Mutum MT, fui atendido pelo vendedor *****, que me apresentou o serviço de rastreamento e internet OnStar, informando que se tratava apenas de uma degustação gratuita por três meses, bastando cadastrar o cartão de crédito.<br /><br />Deixei claro que não tinha interesse em contratar o serviço, mas o vendedor insistiu dizendo que seria apenas uma demonstração gratuita, sem custos, e que poderia ser cancelada a qualquer momento dentro do período de três meses.<br /><br />Confiando nessa informação, fiz o cadastro do cartão junto à OnStar. No entanto, ao final do período gratuito, quando entrei em contato para cancelar, fui surpreendido com a informação de que a concessionária já havia incluído no contrato de compra do veículo um pacote anual do serviço OnStar, no valor de R$ 1.299,00, sem meu consentimento ou ciência prévia.<br /><br />No dia 02/09/2025, procurei o vendedor *****, que afirmou não saber do procedimento e prometeu resolver. Em 03/09/2025, ele me orientou a preencher um formulário de cancelamento/estorno e enviar para o setor financeiro da OnStar, o que fiz imediatamente. No entanto, até hoje não obtive nenhum retorno, mesmo após várias tentativas de contato.<br /><br />No dia 22/09, voltei a procurar o vendedor, que disse que o estorno levaria cerca de um mês. Já se passou mais de um mês e não tive qualquer posicionamento da Chevrolet, da OnStar ou da concessionária.<br /><br />Analisando o contrato, constatei que no item 4. Outras Condições consta a cobrança do serviço OnStar Protect Connect, no valor citado, inserido no financiamento do veículo sem a devida informação ou opção de recusa, o que configura venda casada e violação do Código de Defesa do Consumidor, conforme:<br /><br />Art. 6, III Direito à informação clara e adequada;<br /><br />Art. 39, I Vedação à venda casada;<br /><br />Art. 39, V Proibição de exigir vantagem manifestamente excessiva.<br /><br />Em nenhum momento, durante as negociações ou a assinatura do contrato, fui informado de que havia esse valor embutido. Inclusive, perguntei diversas vezes ao vendedor se havia taxas adicionais e fui informado de que seriam apenas os custos de financiamento em torno de R$ 4.000,00.<br /><br />Portanto, solicito o imediato cancelamento do serviço OnStar e o reembolso integral do valor de R$ 1.299,00, que foi incluído sem meu consentimento, além de uma posição formal da concessionária e da OnStar sobre o caso.<br /><br />Reforço que desejo resolver a situação de forma amigável, sem necessidade de acionar o PROCON ou vias judiciais, mas, até o momento, me sinto enganado, lesado e desrespeitado como consumidor.",MT,Diamantino,PENDING,2025-10-09T09:44:41,https://www.reclameaqui.com.br/chevrolet/cobranca-indevida-e-venda-casada-da-chevroletonstar-no-contrato-do-tracker_EFNC1p0k5qyhlCFM/
Ônix Plus com barulho constante e não resolvido na concessionária,"Tenho um ônix plus ltz com 7.000 km tirado zero da concessionária Vemafre de Franca-SP. O carro passou a apresentar um barulho muito chato no lado do motorista, um tec tec que parece ser na coluna do cinto de segurança. Já levei o carro 5x na concessionária, ficando lá por dias mas nada de arrumar o barulho que gera um incômodo horrível. Estou muito chateada com a situação e insatisfeita. Como um carro zero apresenta um problema assim? Eu quero um solução. Meu carro está na garantia. Aguardo urgente resposta pois o que eu podia esperar e ter paciência eu já tive.",SP,Franca,PENDING,2025-10-08T22:18:12,https://www.reclameaqui.com.br/chevrolet/onix-plus-com-barulho-constante-e-nao-resolvido-na-concessionaria_2yeIxIFllYUvRtuk/
