title,description,userState,userCity,status,created,url
Descumprimento de decisão judicial e falta de compromisso da GM do Brasil com o consumidor,"MAIS UM MÊS SE INICIA E A GM DO BRASIL JUNTOS COM SEUS ADVOGADOS NÃO CUMPREM A DECISÃO JUDICIAL!!! JÁ ENTRARAM EM CONTATO COMIGO FIRMAMOS UM ACORDO, MAIS NENHUMA SOLUÇÃO DAR PARTE DA GM DO BRASIL. COMO UM BOM BRASILEIRO ACREDITO NAS PESSOAS, MÁS ESSA EMPRESA DEMONSTROU QUE NÃO TEM COMPROMISSO NENHUM COM SEUS CONSUMIDORES E MUITO MENOS RESPEITO A JUSTIÇA.<br />FICA O ALERTA !!!",CE,Fortaleza,PENDING,2025-09-05T13:28:05,https://www.reclameaqui.com.br/gm-do-brasil/descumprimento-de-decisao-judicial-e-falta-de-compromisso-da-gm-do-brasil-com-o-consumidor_UahklLIvHaRO0Z0x/
Defeito de fabricação em S10 2013: pintura do teto descascando após lavagem - cliente insatisfeito com proposta de cobertura parcial.,"Comprei uma S10, modelo 2013, e recentemente percebi que toda vez que lavo o veículo o teto descasca cada vez mais. Entrei em contato com a Chevrolet, expliquei a situação, e a própria atendente reconheceu que o modelo apresentou defeito de fábrica, orientando-me a agendar uma avaliação com um técnico da GM.<br />Agendei e levei o veículo conforme instruções. Para minha surpresa, após a análise, o técnico informou que a Chevrolet iria arcar apenas com 40% do valor do reparo, deixando 60% (R$ 1.293,64) a meu cargo. O orçamento total foi de R$ 2.156,07, sendo apenas R$ 862,48 de responsabilidade da Chevrolet.<br />Estou indignada, pois não se trata de um desgaste natural, e sim de um defeito de fabricação já reconhecido pela própria marca. Não considero justo que eu tenha que arcar com parte desse custo.<br />Solicito que a Chevrolet cubra integralmente o reparo, pois o problema é de fábrica e não causado por mau uso. Quero uma solução definitiva e justa para que possamos encerrar este caso de forma amigável.",SP,Americana,PENDING,2025-09-01T17:09:39,https://www.reclameaqui.com.br/gm-do-brasil/defeito-de-fabricacao-em-s10-2013-pintura-do-teto-descascando-apos-lavagem-cliente-insatisfeito-com-proposta-de-cobertura-parcial_zlXvM0RrxMzbegiM/
Aguardando vidro traseiro da Equinox Premier 2024 desde 14/07/2025 sem previsão de entrega.,Comprei uma Equinox Premier 2024 e desde o dia 14 de julho de 2025 aguardando o vidro traseiro e não tem no Brasil. O carro está parado na ORCA veículos de Taguatinga - DF e sem previsão de entrega porque a GM do Brasil não providencia o vidro traseiro para troca.,DF,Brasília,PENDING,2025-08-26T08:45:33,https://www.reclameaqui.com.br/gm-do-brasil/aguardando-vidro-traseiro-da-equinox-premier-2024-desde-14072025-sem-previsao-de-entrega_QzT1fC4IxwQNEYXm/
Reclamação por vício de qualidade e descumprimento de prazos em veículo Chevrolet Tracker LTZ,"ASSUNTO: Reclamação por vício de qualidade e descumprimento de prazos  Código de Defesa do Consumidor<br /><br />Prezados,<br /><br />Venho, por meio desta, registrar minha insatisfação e reclamação formal em razão dos problemas apresentados no veículo Chevrolet Tracker LTZ, adquirido zero quilômetro junto à concessionária Vigorito, localizada na Av. Nazaré  Ipiranga  SP.<br /><br />No ato da retirada do veículo, constatei marcas de arranhões na pintura, fato inadmissível em um automóvel novo.<br /><br />Pouco tempo após a entrega, o veículo apresentou um defeito na abertura do porta-malas, impossibilitando seu uso adequado.<br /><br />Ao levar o carro para a concessionária, fui surpreendido com a informação de que não havia a peça necessária para o reparo, sendo-me solicitado que aguardasse cerca de 15 dias para que a peça fosse disponibilizada.<br /><br />Nesse período, permaneço com um veículo novo e pago em sua integralidade, porém com restrição de uso, visto que o porta-malas não abre.<br /><br />Ressalto que tais fatos configuram vício de qualidade (art. 18 do CDC), uma vez que o produto não está adequado ao uso a que se destina, além de caracterizar falha na prestação de serviço por parte da concessionária e da fabricante.<br /><br />Nos termos do art. 18,  1 do CDC, o fornecedor tem o prazo máximo de 30 dias para sanar o vício. Após esse prazo, o consumidor pode optar pela substituição do produto por outro da mesma espécie, a restituição da quantia paga ou o abatimento proporcional do preço.<br /><br />Diante do exposto, requeiro:<br /><br />A imediata solução do problema com a substituição da peça defeituosa e reparo do porta-malas;<br /><br />Na ausência de uma solução satisfatória, tomarei as devidas providências junto ao Procon, à plataforma consumidor.gov.br e, se necessário, ajuizarei ação judicial visando a reparação dos danos materiais e morais sofridos.",SP,São Paulo,PENDING,2025-08-24T21:09:55,https://www.reclameaqui.com.br/gm-do-brasil/reclamacao-por-vicio-de-qualidade-e-descumprimento-de-prazos-em-veiculo-chevrolet-tracker-ltz_Yy2gzhe4j9zU1_gx/
Tracker 0 km (GM DO BRASIL) com vários defeitos e sem solução Solicito substituição imediata!,"Adquiri um Chevrolet Tracker RS AT Turbo, 0 km, ano 2024/modelo 2025, cor Branco Summit, em 16/05/2025, na Concessionária Vigorito Guarulhos Augusta, e desde o dia seguinte à entrega o veículo apresentou uma série de vícios inaceitáveis para um carro novo.<br /><br />Registrei todos os problemas nos primeiros 10 dias de uso, comuniquei o vendedor e formalizei as reclamações por WhatsApp em 26/05/2025, além de ter comparecido à concessionária para abertura da Ordem de Serviço n ***** em 16/06/2025.<br /><br />Até o momento, nenhuma providência efetiva foi tomada. Os problemas se agravaram, e seguem abaixo:<br /><br />Marca na pintura da porta dianteira (possível ferrugem ou cola);<br /><br />Borracha desalinhada na porta;<br /><br />Ruídos constantes na traseira e no tampão;<br /><br />Trancos (coices) ao trocar marchas;<br /><br />Barulhos insuportáveis no teto solar, cortina, banco do motorista e volante;<br /><br />Escoamento de água com jatos desalinhados;<br /><br />Plástico protetor da alavanca de câmbio danificado e mal posicionado.<br /><br />Já entrei em contato com a equipe de pós-venda, vendedor, oficina, SAC da Vigorito (em 13/08 e 18/08), sem qualquer retorno prático ou solução.<br /><br />Após mais de 90 dias de espera, considero isso um total desrespeito ao consumidor, descumprimento da garantia e falha grave na entrega de um produto com a qualidade prometida.<br /><br /> Solicito a substituição imediata do veículo por outro da mesma espécie e modelo, em perfeitas condições de uso, conforme assegura o Código de Defesa do Consumidor (art. 18).<br /><br />Caso não haja solução rápida, estarei acionando o Procon, registrando reclamação no Consumidor.gov.br e ingressando com ação judicial para reparação de danos materiais e morais.<br /><br />Aguardo um retorno urgente e definitivo.",SP,Guarulhos,PENDING,2025-08-20T16:10:56,https://www.reclameaqui.com.br/gm-do-brasil/tracker-0-km-gm-do-brasil-com-varios-defeitos-e-sem-solucao-solicito-substituicao-imediata_Hw669e72U9b58CDd/
Porta-malas com defeito de fabricação em veículo zero km,"Venho, por meio desta, complementar a reclamação anteriormente registrada e reforçar minha insatisfação quanto ao setor de qualidade da GM, visto que adquiri um veículo zero quilômetro que já apresentou falha de fabricação.<br /><br />O problema ocorre especificamente no porta-malas, que apresenta funcionamento irregular:<br /><br />Abre sozinho, sem qualquer comando do condutor;<br /><br />Não abre quando há a real necessidade de utilização, causando transtornos e insegurança.<br /><br />Trata-se de um defeito de qualidade inaceitável para um veículo novo, especialmente considerando que o consumidor espera segurança, confiabilidade e qualidade construtiva ao adquirir um automóvel zero km.<br /><br />De acordo com o art. 18 do Código de Defesa do Consumidor, fabricantes, fornecedores e concessionárias respondem solidariamente pelos vícios de qualidade ou quantidade que tornem o produto impróprio ou inadequado ao consumo.",SP,São Paulo,PENDING,2025-08-18T12:52:27,https://www.reclameaqui.com.br/gm-do-brasil/porta-malas-com-defeito-de-fabricacao-em-veiculo-zero-km_i0GCdrnNvV9JZlUp/
Quilometragem divergente causa perda de venda e constrangimento,"Eu fui vender um veículo, que já tinha sito anunciado em outro site e o mesmo deu uma quilometragem quase o dobro da que tem no veículo , a pessoa achou que eu adulterei a quilometragem, coisa que NUNCA ocorreu. Fiquei altamente constrangida e perdi a venda do veículo e a credibilidade.",RJ,Rio de Janeiro,PENDING,2025-08-12T15:01:48,https://www.reclameaqui.com.br/gm-do-brasil/quilometragem-divergente-causa-perda-de-venda-e-constrangimento_PY3WDh7Wb9U81UWI/
Veículo novo com danos estéticos (arranhões e riscos) no momento da entrega,"Assunto: Reclamação Formal  Veículo Novo com Danos Estéticos na Entrega<br /><br />Prezados(as),<br /><br />No dia 08/08/2025, durante a retirada na concessionária Vigorito Nazaré  Ipiranga  SP do veículo Chevrolet Tracker LTZ 2026, adquirido zero quilômetro, na expectativa legítima de receber um produto em perfeitas condições, conforme determina o Código de Defesa do Consumidor (Lei n 8.078/1990, art. 18 e art. 20).<br /><br />Para minha surpresa e indignação, ao inspecionar o veículo no momento da entrega, constatei vários arranhões e riscos no capô, além de marcas evidentes de esfregões, possivelmente oriundos da tentativa de disfarçar ou minimizar tais danos por meio de polimento ou fricção de algum produto. Tais imperfeições são incompatíveis com o padrão esperado para um veículo zero quilômetro e revelam falta de cuidado e zelo no manuseio do bem antes da entrega ao cliente.<br /><br />Cumpre ressaltar que, apesar das polêmicas recentes envolvendo modelos da Chevrolet, especialmente sobre a questão da correia banhada a óleo, mantive minha confiança na marca devido à minha fidelidade de anos e ao histórico de uso. Essa experiência, entretanto, compromete minha percepção de qualidade, comprometimento e respeito ao consumidor.<br /><br />De acordo com o art. 18 do CDC, o fornecedor é responsável pela entrega de produto livre de vícios de qualidade que o tornem impróprio ou diminuam seu valor. Os danos estéticos detectados no momento da entrega caracterizam vício aparente e exigem reparo imediato e integral, com restauração à condição de fábrica, sem prejuízo de eventual substituição da peça ou até mesmo do veículo, caso o vício não seja sanado de forma satisfatória.<br /><br />Ressalto que, diante do ocorrido, o veículo foi deixado na concessionária para a devida correção do defeito apresentado, ficando sob responsabilidade da empresa a execução do serviço e a entrega do bem nas condições estéticas e funcionais compatíveis com um veículo zero quilômetro.<br /><br />Reitero minha insatisfação com a situação e aguardo retorno formal no prazo legal previsto no CDC.<br /><br />Atenciosamente,<br /><br />*****",SP,São Paulo,PENDING,2025-08-09T08:54:14,https://www.reclameaqui.com.br/gm-do-brasil/veiculo-novo-com-danos-esteticos-arranhoes-e-riscos-no-momento-da-entrega_B1eFW8xnl5yN93Kc/
GM descumpre decisão judicial e não soluciona defeitos em Onix após 2 anos,"Já venho a quase dois anos travando uma luta com a GM DO BRASIL e seus advogados para solução do meu veículo Onix que apresenta defeitos desde o seu recebimento! já foi dado a sentença pelo juiz mais os advogados continua a descumprir as leis, já chegaram a fazer acordo comigo e depois sumiram sem nenhuma solução para o problema!<br />Me sinto enganado e descrente das pessoas. Se essa empresa Chevrolet GM DO BRASIL são capazes de não respeita as Leis e autoridades com sentença e decisão proferida pela justiça, é um sinal muito forte que essa empresa não tem o mínimo de respeito as leis e muito menos pelos seus consumidores!<br />Obrigado e fica aqui registrado!",CE,Fortaleza,PENDING,2025-08-09T03:05:15,https://www.reclameaqui.com.br/gm-do-brasil/gm-descumpre-decisao-judicial-e-nao-soluciona-defeitos-em-onix-apos-2-anos_Cu1-lDDI6XPKbeGN/
Chevrolet S10 2025 com defeito de fábrica: Exijo a substituição do veículo,"Venho por meio deste manifestar minha profunda insatisfação com a experiência que estou tendo com a caminhonete Chevrolet S10 modelo 2025, adquirida há cerca de 30 dias como veículo 0 km.<br /><br />No mesmo dia da retirada, a luz de injeção do veículo acendeu. Retornei imediatamente à concessionária, onde a luz foi apagada, mas voltou a acender assim que deixei o local. Fui orientado a retornar no dia seguinte e deixar o veículo para análise. Assim fiz, deixando-o o dia inteiro, mas, infelizmente, me foi devolvido com o mesmo problema e sem qualquer solução efetiva.<br /><br />Desde então, tenho convivido com um veículo novo que não me oferece segurança nem tranquilidade. Uma caminhonete que comprei para evitar problemas, ironicamente, tem sido fonte constante de frustração. Em 30 dias, sequer tive o prazer de utilizá-la plenamente.<br /><br />Fui informado de que um engenheiro sairia de São Paulo para resolver o defeito aqui em Minas Gerais. Porém, para minha surpresa, hoje fui comunicado de que nem mesmo esse profissional conseguiu solucionar o problema, o que é inaceitável em um veículo novo, de alto valor e de marca reconhecida.<br /><br />Vale destacar que optei pela troca da minha Nissan Frontier 2019, que rodava perfeitamente e nunca apresentou qualquer problema, apenas por estar com mais de 100 mil km. No entanto, a escolha pela S10 se mostrou um grande erro, trazendo arrependimento e decepção com a marca Chevrolet.<br />Diante disso, não me sinto mais seguro em utilizar esse veículo. Já perdi totalmente a confiança nesse carro e, se não for resolvido de forma definitiva, também perderei a confiança na marca Chevrolet como um todo. Comprei um carro zero justamente para evitar problemas, e agora vivo um transtorno sem fim.<br /><br />Dessa forma, exijo a substituição imediata do veículo por outro novo, em perfeito funcionamento. Caso contrário, tomarei todas as medidas legais cabíveis e recorrerei aos órgãos de defesa do consumidor, pois não aceitarei continuar com um produto defeituoso e sem confiabilidade.<br /><br />Aguardo uma solução urgente e definitiva.<br />",MG,Sete Lagoas,PENDING,2025-08-08T15:46:03,https://www.reclameaqui.com.br/gm-do-brasil/chevrolet-s10-2025-com-defeito-de-fabrica-exijo-a-substituicao-do-veiculo_zu7y5fW7MYsYrjdv/
