title,description,userState,userCity,status,created,url
Reclamação por vício de qualidade e descumprimento de prazos em veículo Chevrolet Tracker LTZ,"ASSUNTO: Reclamação por vício de qualidade e descumprimento de prazos  Código de Defesa do Consumidor<br /><br />Prezados,<br /><br />Venho, por meio desta, registrar minha insatisfação e reclamação formal em razão dos problemas apresentados no veículo Chevrolet Tracker LTZ, adquirido zero quilômetro junto à concessionária Vigorito, localizada na Av. Nazaré  Ipiranga  SP.<br /><br />No ato da retirada do veículo, constatei marcas de arranhões na pintura, fato inadmissível em um automóvel novo.<br /><br />Pouco tempo após a entrega, o veículo apresentou um defeito na abertura do porta-malas, impossibilitando seu uso adequado.<br /><br />Ao levar o carro para a concessionária, fui surpreendido com a informação de que não havia a peça necessária para o reparo, sendo-me solicitado que aguardasse cerca de 15 dias para que a peça fosse disponibilizada.<br /><br />Nesse período, permaneço com um veículo novo e pago em sua integralidade, porém com restrição de uso, visto que o porta-malas não abre.<br /><br />Ressalto que tais fatos configuram vício de qualidade (art. 18 do CDC), uma vez que o produto não está adequado ao uso a que se destina, além de caracterizar falha na prestação de serviço por parte da concessionária e da fabricante.<br /><br />Nos termos do art. 18,  1 do CDC, o fornecedor tem o prazo máximo de 30 dias para sanar o vício. Após esse prazo, o consumidor pode optar pela substituição do produto por outro da mesma espécie, a restituição da quantia paga ou o abatimento proporcional do preço.<br /><br />Diante do exposto, requeiro:<br /><br />A imediata solução do problema com a substituição da peça defeituosa e reparo do porta-malas;<br /><br />Na ausência de uma solução satisfatória, tomarei as devidas providências junto ao Procon, à plataforma consumidor.gov.br e, se necessário, ajuizarei ação judicial visando a reparação dos danos materiais e morais sofridos.",SP,São Paulo,PENDING,2025-08-24T21:09:55,https://www.reclameaqui.com.br/gm-do-brasil/reclamacao-por-vicio-de-qualidade-e-descumprimento-de-prazos-em-veiculo-chevrolet-tracker-ltz_Yy2gzhe4j9zU1_gx/
Tracker 0 km (GM DO BRASIL) com vários defeitos e sem solução Solicito substituição imediata!,"Adquiri um Chevrolet Tracker RS AT Turbo, 0 km, ano 2024/modelo 2025, cor Branco Summit, em 16/05/2025, na Concessionária Vigorito Guarulhos Augusta, e desde o dia seguinte à entrega o veículo apresentou uma série de vícios inaceitáveis para um carro novo.<br /><br />Registrei todos os problemas nos primeiros 10 dias de uso, comuniquei o vendedor e formalizei as reclamações por WhatsApp em 26/05/2025, além de ter comparecido à concessionária para abertura da Ordem de Serviço n ***** em 16/06/2025.<br /><br />Até o momento, nenhuma providência efetiva foi tomada. Os problemas se agravaram, e seguem abaixo:<br /><br />Marca na pintura da porta dianteira (possível ferrugem ou cola);<br /><br />Borracha desalinhada na porta;<br /><br />Ruídos constantes na traseira e no tampão;<br /><br />Trancos (coices) ao trocar marchas;<br /><br />Barulhos insuportáveis no teto solar, cortina, banco do motorista e volante;<br /><br />Escoamento de água com jatos desalinhados;<br /><br />Plástico protetor da alavanca de câmbio danificado e mal posicionado.<br /><br />Já entrei em contato com a equipe de pós-venda, vendedor, oficina, SAC da Vigorito (em 13/08 e 18/08), sem qualquer retorno prático ou solução.<br /><br />Após mais de 90 dias de espera, considero isso um total desrespeito ao consumidor, descumprimento da garantia e falha grave na entrega de um produto com a qualidade prometida.<br /><br /> Solicito a substituição imediata do veículo por outro da mesma espécie e modelo, em perfeitas condições de uso, conforme assegura o Código de Defesa do Consumidor (art. 18).<br /><br />Caso não haja solução rápida, estarei acionando o Procon, registrando reclamação no Consumidor.gov.br e ingressando com ação judicial para reparação de danos materiais e morais.<br /><br />Aguardo um retorno urgente e definitivo.",SP,Guarulhos,PENDING,2025-08-20T16:10:56,https://www.reclameaqui.com.br/gm-do-brasil/tracker-0-km-gm-do-brasil-com-varios-defeitos-e-sem-solucao-solicito-substituicao-imediata_Hw669e72U9b58CDd/
Veículo novo com danos estéticos (arranhões e riscos) no momento da entrega,"Assunto: Reclamação Formal  Veículo Novo com Danos Estéticos na Entrega<br /><br />Prezados(as),<br /><br />No dia 08/08/2025, durante a retirada na concessionária Vigorito Nazaré  Ipiranga  SP do veículo Chevrolet Tracker LTZ 2026, adquirido zero quilômetro, na expectativa legítima de receber um produto em perfeitas condições, conforme determina o Código de Defesa do Consumidor (Lei n 8.078/1990, art. 18 e art. 20).<br /><br />Para minha surpresa e indignação, ao inspecionar o veículo no momento da entrega, constatei vários arranhões e riscos no capô, além de marcas evidentes de esfregões, possivelmente oriundos da tentativa de disfarçar ou minimizar tais danos por meio de polimento ou fricção de algum produto. Tais imperfeições são incompatíveis com o padrão esperado para um veículo zero quilômetro e revelam falta de cuidado e zelo no manuseio do bem antes da entrega ao cliente.<br /><br />Cumpre ressaltar que, apesar das polêmicas recentes envolvendo modelos da Chevrolet, especialmente sobre a questão da correia banhada a óleo, mantive minha confiança na marca devido à minha fidelidade de anos e ao histórico de uso. Essa experiência, entretanto, compromete minha percepção de qualidade, comprometimento e respeito ao consumidor.<br /><br />De acordo com o art. 18 do CDC, o fornecedor é responsável pela entrega de produto livre de vícios de qualidade que o tornem impróprio ou diminuam seu valor. Os danos estéticos detectados no momento da entrega caracterizam vício aparente e exigem reparo imediato e integral, com restauração à condição de fábrica, sem prejuízo de eventual substituição da peça ou até mesmo do veículo, caso o vício não seja sanado de forma satisfatória.<br /><br />Ressalto que, diante do ocorrido, o veículo foi deixado na concessionária para a devida correção do defeito apresentado, ficando sob responsabilidade da empresa a execução do serviço e a entrega do bem nas condições estéticas e funcionais compatíveis com um veículo zero quilômetro.<br /><br />Reitero minha insatisfação com a situação e aguardo retorno formal no prazo legal previsto no CDC.<br /><br />Atenciosamente,<br /><br />*****",SP,São Paulo,PENDING,2025-08-09T08:54:14,https://www.reclameaqui.com.br/gm-do-brasil/veiculo-novo-com-danos-esteticos-arranhoes-e-riscos-no-momento-da-entrega_B1eFW8xnl5yN93Kc/
Pintura homologada e falta de suporte da concessionária/GM,"No dia 26 de ezembro de 2025, fui a Concessionaria Carreira em Alphaville, para trocar o carro, fechamos negocio, devido as datas festivas, o carro chegou em 13 de janeiro, quando fomos retirar o para choque de tras estava com problema, então o gerente da loja tirou de outro carro e colocou no meu, super entendi, na hora de ligar o carro para ir embora, o carro não dava partida, enrão trouxeram uma maquina e deram carga na bateria do carro 0km, me justificaram por estar parado, super entendi.<br />Levei o carro para lavar, o moço do lava rapido falou Fátima seu carro é novo e sua pintuira esta homolograda, ele me explicou que na correria quando estão Polindo pode acontecer, porem por ser novo a responsabilidade é do vendedor, não entendi muito, deixei passar, levei o carro em outro lugar o mesmo papo da pintura seu carro é  novo a pintura veio homolograda, lavei em uma terceira pessoa proximo ao meu trabalho, no qual ele me explicou e me mostrou, e falou seu carro não pode vim assim com a pintura homolograda.<br />Ai começou a novela, liguei pra GM em abril, falarm que era na concessionaria, fui na concessionaria viram a pintura que realmente esta homolograda e falaram é com a GM, nos só vendemos. Proximos capitulo, liguei e ninguem sabia me instruir, até que peguei alguns e-mails e comecei falar por lá, porem eles me ligam em horario que não consigo atender, deixei claro os horarios que consigo e não ligam nesse horario, quando retorno e ligo no telefone que esta no e-mail, passo o numero do protocolo e o atendente nem sabe do que se trata fala que vão pedir pra retornar no horario que indico 11:30 as 14:00, e nada estou me sentindo que estao me enrolando.",SP,Barueri,PENDING,2025-08-01T19:43:32,https://www.reclameaqui.com.br/gm-do-brasil/pintura-homologada-e-falta-de-suporte-da-concessionariagm_ZVTyUTY6zRZ1ujx6/
MONTANA LTZ 24/25 COM BARULHO CRÔNICO NA RODA DIREITA - SEM SOLUÇÃO DA FÁBRICA - SONHO NO LIXO,"Em novembro de 2024 comprei uma MONTANA LTZ 24/25 0 KM pela minha empresa V. PACHECO EMPREEDIMENTPS IMOBILIARIOS LTDA. Peguei a mesma no dia 26/11/2024 e uns 3 dias após a compra o veículo começou a apresentar um barulho anômalo na suspensão/ amortecedor do lado direito, o que gerou preocupação. No quarto dia, o barulho se intensificou, então procurei a concessionária( AUTUS COMERCIAL DISTRIBUIDORA LTDA - da AFONSO PENA) em busca de uma solução. O testador e mecânico andaram comigo e constaram o barulho. O carro ficou lá, desmontaram ele todo e me devolveram alegando que não acharam nada. Trouxeram até a teste drive até mim, alegando que o barulho também fazia nela, que era ""normal""..do carro mesmo. Eu não aceitei a justificativa, pois quando fiz a compra não estava no manual técnico que ela tinha um barulho crônico, senão eu não havia comprado. Então com isso passaram a bomba para a outra unidade da AUTUS - JOÃO NAVES DE ÁVILA) - O carro deu entrada lá no dia 16/12/2024 e testaram várias coisas, desmontaram ele inteiro! Falaram que por ser compra por CNPJ eu não teria direito a carro reserva, contestei também pois uso o veículo pra trabalho. Somente no dia 19/12/24 me arrumaram um carro reserva (1.0 MANUAL) - nada condizente com o que preciso, o que me atrapalhou demais, não tive como trabalhar direito. Além disso eu comprei o carro pra poder viajar no final de ano, pois ganahva também gratuidade no ONSTAR por 1 mês e 1 ano no SEM PARAR. Triste, não tive como fazer a viagem.  Por várias vezes perguntei aos mecanicos se outro cliente relatava esse barulho em espefícico e eles afirmavam categoricamente que não! Só a minha fazia isso.Em janeiro de 2025 alegaram que acharam o barulho: era na COIFA DO AMORTECEDOR. Prenderam a peça que é uma borracha que protege o amortecedor e andaram comigo; não fez o barulho. Ou seja: com a peça presa não fazia o barulho; soltava a peça e voltava. Daí a AUTUS solicitou a GM outra peça, foi feito nova tentativa e NADA! NÃO CONSEGUIRAM RESOLVER O PROBLEMA e hoje no dia 15/01/2025 estão me devolvendo o carro sem a resolução. Ou seja deixei o carro lá 1 mês pra nada! Perdi o 1 mês do ONSTAR, benefícios do SEM PARAR. Fora que deixei o carro lá com 450 km e me devolverão com 607 km, pois andaram nela várias vezes para fazer testes. Lamentável.Como o problema não foi sanado SOLICITO imediata substituição do produto por outro da mesma espécie, em perfeitas condições de uso; OU a restituição imediata da quantia paga, monetariamente atualizada, e com gastos para preparação do veiculo como película nos vidros, frisos, proteção de pintura, ivpa e etc.",MG,Uberlândia,PENDING,2025-01-15T16:16:22,https://www.reclameaqui.com.br/gm-do-brasil/montana-ltz-2425-com-barulho-cronico-na-roda-direita-sem-solucao-da-fabrica-sonho-no-lixo_MunG_qBt3va04COr/
Pintura do Cobalt 18/18 descascando,"Meu Cobalt ano 2018 LTZ aut está descascando em vários pontos, procurei a concessionária e falaram que provavelmente não daria garantia.",SC,Faxinal dos Guedes,PENDING,2025-01-14T12:29:03,https://www.reclameaqui.com.br/gm-do-brasil/pintura-do-cobalt-1818-descascando_aDIhiHn2JOttzjvI/
Recall de pintura - Vicio oculto,"Olá boa tarde, sou *******, CPF-*******, Morador na cidade de Divinópolis MG na qual eu venho relatar minha insatisfação com a Chevrolet e o que tenho passado alguns anos, no ano de 2023 e 2024 (placa *******)CHASSI: 9BG148LP0EC450416 eu levei minha camionete para concessionária MARKA Chevrolet na minha cidade, e prontamente fui atendido, foi causado alguns descascados na minha S10  modelo 2014 e que a MARKA arrumou, lembrando que no tempo que eles pediram, eu como empresário do ramo de alimentação, passei por vários transtornos, pois utilizo para fazer compras, ir ao CEASA CONTAGEM, atendemos empresas e literalmente utilizo no dia a dia para trabalhar, aconteceu mais uma vez as partes da camionete citada acima voltou a descascar as outras partes que não tinham arrumado em 2023, então fui concessionária novamente, levei todos os documentos e marcaram comigo dia 02-09-24, onde deixei ela na MARKA e logo aluguei um veículo para não ficar a pé e fazer minha rotina mensal, hoje 16-10-24 fui a MARKA para ver como estava minha camionete, logo deparei com ela pintaram apenas onde descascou pela segunda vez., então venho pedir atenção pois o transtornos e gastos já estou tendo, ainda querem pintar minha camionete só onde descasou? Meu carro já vai desvalorizar, e ainda querem pintar parcialmente, para quando for vender eu perder um grande valor nela, sem ter culpa minha?Sendo assim aguardo retorno positivo da montadora para fazer a pintura total do veículo para não desvalorizar tanto, para eu não ter que acionar outros meio, sabendo assim que no Brasil todo estão tendo esse problema, e todas estão sendo pintura total do veículo. Lembrando que estou com carro alugado a mais de 45 dias.. já gastei mais de 4 mil reais so com esse aluguel, fora os gastos de fretes(carreto) por estar sem camionete.Tenho uma reclamação também feita no Reclame aqui.Atenciosamente**************",MG,Divinópolis,PENDING,2024-10-29T11:49:13,https://www.reclameaqui.com.br/gm-do-brasil/recall-de-pintura-vicio-oculto_9BSkM17CKhHj8wB-/
VEÍCULO NOVO [Editado pelo Reclame Aqui]!!!,"Assinei no dia 30/09/24 a aquisição de um Onix Plus Ltz 24/24 na condição de 0 Km, e entreguei uma Tracker Premier 20/21 na negociação, acontece que a concessionária revendora da cidade de Marília-SP me mandou mensagem para ir ver o veículo 0 Km que havia https://******* cheguei lá a vendedora informou que o mesmo estava em outro pátio na cidade e não pude ver o veículo, aguardei a data combinada para retirada do mesmo dia 08/10 e tive a informação controversa de que houve uma confusão por parte da transportadora do chassi do meu veículo e o mesmo havia desembarcado em oura cidade próhttps://******* seja mentiram!!! No dia seguinte indo https://******* cara da justiça em frente aí Fórum da cidade encontro o meu veículo sem placa com o mesmo chassi da minha nota fiscal sendo reparado em uma auto pintura!!! VEÍCULO NOVO CHEVROLET SENDO ADULTERADO E VENDIDO COMO ZERO ABSURDO!!! ESSE SERIA MEU QUARTO VEÍCULO DA GM!!!",SP,Marília,PENDING,2024-10-11T19:49:25,https://www.reclameaqui.com.br/gm-do-brasil/veiculo-novo_TK_KjkfRkHUcr5eo/
Aquisição de carro para PCD,"Estou em processo de aquisição de um carro da marca Chevrolet modelo Tracker AT pela Loja RR em Belém do Pará. Como é um carro para PCD, obtivemos a proposta da loja e começamos o processo para pedido de isenção que iniciou dia 12/06/2024 e finalizou dia 03/09/2024. Com o processo finalizado, entramos em contato com seu Henrique que estava dando todo o suporte na venda do carro e fomos surpreendidos com a infeliz notícia, que não havia carro (Tracker AT) na fábrica para faturar. Depois de um longo e árduo processo para conseguir a isenção de IPI e ICMS nos órgãos competentes, onde tivemos que vender nosso carro com urgência para constar nos documentos que tínhamos parte do valor do carro novo, esperávamos no mínimo que a GM deixasse reservado o nosso carro que estava disponível desde o início. Atualmente, segundo o vendedor, o carro ainda está sendo fabricado e como temos um filho com Autismo tivemos que alugar carro para seguir com o tratamento dele. Estamos muito insatisfeitos, desgastados e nos sentindo [Editado pelo Reclame Aqui] pois o o valor da isenção que conseguimos está sendo para pagar o aluguel entre outros custos decorrentes dessa aquisição com a Chevrolet.",PA,Belém,PENDING,2024-10-09T11:34:10,https://www.reclameaqui.com.br/gm-do-brasil/aquisicao-de-carro-para-pcd_BIT3DYbvJQ7ENGs3/
Falta de peça de reposição,Meu filho tem uma Equinox 2019 motor 2.0L turbo.O veículo está com o coxin lado direito do motor trincado.Já consultados várias concessionárias de SP e nenhuma tem essa peça para vender. A resposta que recebemos é que a GMB não tem essa peça no Centro de Distribuição de Peças e nem previsão de quando terá. Várias concessionárias já abriram pedidos de emergência e estão a meses sem previsão de receber essa peça.,SP,Guarulhos,PENDING,2024-08-12T16:14:50,https://www.reclameaqui.com.br/gm-do-brasil/falta-de-peca-de-reposicao_JgjefXkSzF6o4iWZ/
